Symbol,Security,GICS Sector,GICS Sub Industry,Market cap
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,9411958784
EXPD,Expeditors,Industrials,Air Freight & Logistics,11901123584
EXR,Extra Space Storage,Real Estate,Specialized REITs,10560607232
XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,177678057472
FFIV,F5 Networks,Information Technology,Communications Equipment,8448171008
FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,600818253824
FAST,Fastenal Co,Industrials,Building Products,22294114304
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,5447088640
FDX,FedEx Corporation,Industrials,Air Freight & Logistics,28089600000
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,81690009600
FITB,Fifth Third Bancorp,Financials,Regional Banks,11476022272
FE,FirstEnergy Corp,Utilities,Electric Utilities,21285515264
FRC,First Republic Bank,Financials,Regional Banks,16445591552
FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,66961788928
FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,18649341952
FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,5787795968
FLS,Flowserve Corporation,Industrials,Industrial Machinery,2920027392
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,11393924096
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,19487496192
FTNT,Fortinet,Information Technology,Systems Software,23185313792
FTV,Fortive Corp,Industrials,Industrial Machinery,18611294208
FBHS,Fortune Brands Home & Security,Industrials,Building Products,7388442112
FOXA,Fox Corporation Class A,Communication Services,Movies & Entertainment,15561336832
FOX,Fox Corporation Class B,Communication Services,Movies & Entertainment,15620968448
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,8796634112
FCX,Freeport-McMoRan Inc.,Materials,Copper,12312705024
GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,2832056320
GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,14905134080
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,9945699328
GD,General Dynamics,Industrials,Aerospace & Defense,37556363264
GE,General Electric,Industrials,Industrial Conglomerates,48021520384
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,37877628928
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,32385337344
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,10548291584
GILD,Gilead Sciences,Health Care,Biotechnology,95658262528
GL,Globe Life Inc.,Financials,Life & Health Insurance,7318676992
GPN,Global Payments Inc.,Information Technology,Data Processing & Outsourced Services,50809131008
GS,Goldman Sachs Group,Financials,Investment Banking & Brokerage,59103858688
GWW,Grainger (W.W.) Inc.,Industrials,Industrial Machinery,14906316800
HRB,H&R Block,Consumer Discretionary,Specialized Consumer Services,3008384512
HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,8614870016
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2965258496
HOG,Harley-Davidson,Consumer Discretionary,Motorcycle Manufacturers,3011380992
HIG,Hartford Financial Svc.Gp.,Financials,Property & Casualty Insurance,11905993728
HAS,Hasbro Inc.,Consumer Discretionary,Leisure Products,8878313472
HCA,HCA Healthcare,Health Care,Health Care Facilities,33336500224
PEAK,Healthpeak Properties,Real Estate,Health Care REITs,11809644544
HP,Helmerich & Payne,Energy,Oil & Gas Drilling,1885185792
HSIC,Henry Schein,Health Care,Health Care Distributors,7389050368
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,27120345088
HES,Hess Corporation,Energy,Integrated Oil & Gas,13535836160
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",11736776704
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",19003467776
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,4349876736
HOLX,Hologic,Health Care,Health Care Equipment,13408637952
